Channel;VariantID;PhotoType;Sensitive
NAP;8378037991351089;bk;false
NAP;8378037991351089;cu;false
NAP;8378037991351089;fr;false
NAP;8378037991351089;in;false
NAP;8378037991351089;ou;false
NAP;8378037991351089;sw;false
NAP;8378037991492343;bk;false
NAP;8378037991492343;cu;false
NAP;8378037991492343;fr;false
NAP;8378037991492343;in;false
NAP;8378037991492343;ou;false
NAP;8378037991492343;sw;false
NAP;8378037991275997;bk;false
NAP;8378037991275997;cu;false
NAP;8378037991275997;e1;false
NAP;8378037991275997;fr;false
NAP;8378037991275997;in;false
NAP;8378037991275997;ou;false
NAP;8378037991275997;rw;false
NAP;8378037991275997;sw;false
NAP;8378037991351594;bk;false
NAP;8378037991351594;cu;false
NAP;8378037991351594;fr;false
NAP;8378037991351594;in;false
NAP;8378037991351594;ou;false
NAP;8378037991351594;sw;false
NAP;8378037991492738;bk;false
NAP;8378037991492738;cu;false
NAP;8378037991492738;fr;false
NAP;8378037991492738;in;false
NAP;8378037991492738;ou;false
NAP;8378037991492738;sw;false
NAP;8378037990978500;bk;false
NAP;8378037990978500;cu;false
NAP;8378037990978500;fr;false
NAP;8378037990978500;in;false
NAP;8378037990978500;ou;false
NAP;8378037990978500;rw;false
NAP;8378037990978500;sw;false
