Channel;VariantID;PhotoType;Sensitive
MRP;2307389542181269;e2;FALSE
MRP;2307389542181269;fr;FALSE
MRP;2307389542181269;in;FALSE
MRP;2307389542181269;ou;FALSE
MRP;2307389542181269;sw;FALSE
MRP;2307389542181626;bk;FALSE
MRP;2307389542181626;cu;FALSE
MRP;2307389542181626;e1;FALSE
MRP;2307389542181626;fr;FALSE
MRP;2307389542181626;in;FALSE
MRP;2307389542181626;ou;FALSE
MRP;2307389542181626;sw;FALSE
MRP;2307389542180971;bk;FALSE
MRP;2307389542180971;cu;FALSE
MRP;2307389542180971;e1;FALSE
MRP;2307389542180971;fr;FALSE
MRP;2307389542180971;in;FALSE
MRP;2307389542180971;ou;FALSE
MRP;2307389542180971;sw;FALSE
MRP;2307389542181990;bk;FALSE
MRP;2307389542181990;cu;FALSE
MRP;2307389542181990;e1;FALSE
MRP;2307389542181990;fr;FALSE
MRP;2307389542181990;in;FALSE
MRP;2307389542181990;ou;FALSE
MRP;2307389542181990;sw;FALSE
MRP;2307389542182287;bk;FALSE
MRP;2307389542182287;cu;FALSE
MRP;2307389542182287;e1;FALSE
MRP;2307389542182287;fr;FALSE
MRP;2307389542182287;in;FALSE
MRP;2307389542182287;ou;FALSE
MRP;2307389542182287;sw;FALSE
MRP;2307389542181193;bk;FALSE
MRP;2307389542181193;cu;FALSE
MRP;2307389542181193;e1;FALSE
MRP;2307389542181193;fr;FALSE
MRP;2307389542181193;in;FALSE
MRP;2307389542181193;ou;FALSE
MRP;2307389542181193;sw;FALSE
MRP;2307389542181631;bk;FALSE
MRP;2307389542181631;cu;FALSE
MRP;2307389542181631;e1;FALSE
MRP;2307389542181631;fr;FALSE
MRP;2307389542181631;in;FALSE
MRP;2307389542181631;ou;FALSE
MRP;2307389542181631;sw;FALSE
MRP;2307389542181915;bk;FALSE
MRP;2307389542181915;cu;FALSE
MRP;2307389542181915;e1;FALSE
MRP;2307389542181915;fr;FALSE
MRP;2307389542181915;in;FALSE
MRP;2307389542181915;ou;FALSE
MRP;2307389542181915;sw;FALSE
MRP;2307389542180826;bk;FALSE
MRP;2307389542180826;cu;FALSE
MRP;2307389542180826;e1;FALSE
MRP;2307389542180826;fr;FALSE
MRP;2307389542180826;in;FALSE
MRP;2307389542180826;ou;FALSE
MRP;2307389542180826;sw;FALSE
MRP;2307389542181267;bk;FALSE
MRP;2307389542181267;cu;FALSE
MRP;2307389542181267;e1;FALSE
MRP;2307389542181267;fr;FALSE
MRP;2307389542181267;in;FALSE
MRP;2307389542181267;ou;FALSE
MRP;2307389542181267;sw;FALSE
MRP;2307389542179825;bk;FALSE
MRP;2307389542179825;cu;FALSE
MRP;2307389542179825;e1;FALSE
MRP;2307389542179825;e2;FALSE
MRP;2307389542179825;e3;FALSE
MRP;2307389542179825;fr;FALSE
MRP;2307389542179825;in;FALSE
MRP;2307389542179825;ou;FALSE
MRP;2307389542179825;sw;FALSE
MRP;2307389542181487;bk;FALSE
MRP;2307389542181487;cu;FALSE
MRP;2307389542181487;e1;FALSE
MRP;2307389542181487;e2;FALSE
MRP;2307389542181487;e3;FALSE
MRP;2307389542181487;fr;FALSE
MRP;2307389542181487;in;FALSE
MRP;2307389542181487;ou;FALSE
MRP;2307389542181487;sw;FALSE
MRP;2307389542181696;bk;FALSE
MRP;2307389542181696;cu;FALSE
MRP;2307389542181696;e1;FALSE
MRP;2307389542181696;e2;FALSE
MRP;2307389542181696;e3;FALSE
MRP;2307389542181696;fr;FALSE
MRP;2307389542181696;in;FALSE
MRP;2307389542181696;ou;FALSE
MRP;2307389542181696;sw;FALSE
MRP;2307389542181409;bk;FALSE
MRP;2307389542181409;cu;FALSE
MRP;2307389542181409;e1;FALSE
MRP;2307389542181409;e2;FALSE
MRP;2307389542181409;e3;FALSE
MRP;2307389542181409;fr;FALSE
MRP;2307389542181409;in;FALSE
MRP;2307389542181409;ou;FALSE
MRP;2307389542181409;sw;FALSE
MRP;2307389542181770;bk;FALSE
MRP;2307389542181770;cu;FALSE
MRP;2307389542181770;e1;FALSE
MRP;2307389542181770;e2;FALSE
MRP;2307389542181770;e3;FALSE
MRP;2307389542181770;fr;FALSE
MRP;2307389542181770;in;FALSE
MRP;2307389542181770;ou;FALSE
MRP;2307389542181770;sw;FALSE
MRP;2307389542181992;bk;FALSE
MRP;2307389542181992;cu;FALSE
MRP;2307389542181992;e1;FALSE
MRP;2307389542181992;e2;FALSE
MRP;2307389542181992;e3;FALSE
MRP;2307389542181992;fr;FALSE
MRP;2307389542181992;in;FALSE
MRP;2307389542181992;ou;FALSE
MRP;2307389542181992;sw;FALSE
MRP;2307389542181995;cu;FALSE
MRP;2307389542181995;in;FALSE
MRP;2307389542181995;ou;FALSE
MRP;2307389542181995;sw;FALSE
MRP;5432698981535604;bk;FALSE
MRP;5432698981535604;cu;FALSE
MRP;5432698981535604;e1;FALSE
MRP;5432698981535604;in;FALSE
MRP;5432698981535604;ou;FALSE
MRP;5432698981535604;sw;FALSE
MRP;5526882328029371;bk;FALSE
MRP;5526882328029371;cu;FALSE
MRP;5526882328029371;e1;FALSE
MRP;5526882328029371;fr;FALSE
MRP;5526882328029371;in;FALSE
MRP;5526882328029371;ou;FALSE
MRP;5526882328029371;sw;FALSE
MRP;5526882328029374;bk;FALSE
MRP;5526882328029374;cu;FALSE
MRP;5526882328029374;e1;FALSE
MRP;5526882328029374;fr;FALSE
MRP;5526882328029374;in;FALSE
MRP;5526882328029374;ou;FALSE
MRP;5526882328029374;sw;FALSE
MRP;5526882328029370;bk;FALSE
MRP;5526882328029370;cu;FALSE
MRP;5526882328029370;e1;FALSE
